track_id;class_name;line1_frame;line2_frame;crossing_frame;time_sec;window_5min;direction;speed_kmh
87;car;;469;;;;;
89;car;417;447;447;17.88;1;inbound;51.00000000000001
91;car;450;474;474;18.96;1;inbound;63.75000000000001
93;car;;448;;;;;
95;car;550;506;550;22.0;1;outbound;34.77272727272727
98;car;;507;;;;;
99;car;;;;;;;
100;car;;468;;;;;
102;bus;;532;;;;;
103;car;;;;;;;
104;truck;;;;;;;
105;car;476;504;504;20.16;1;inbound;54.64285714285714
107;car;593;546;593;23.72;1;outbound;32.55319148936171
109;car;601;561;601;24.04;1;outbound;38.25
111;car;504;528;528;21.12;1;inbound;63.75000000000001
113;car;;513;;;;;
114;truck;;588;;;;;
116;car;525;556;556;22.24;1;inbound;49.354838709677416
117;car;556;579;579;23.16;1;inbound;66.52173913043478
119;car;655;608;655;26.2;1;outbound;32.55319148936171
120;truck;707;647;707;28.28;1;outbound;25.500000000000004
122;car;552;579;579;23.16;1;inbound;56.666666666666664
123;car;669;628;669;26.76;1;outbound;37.31707317073171
124;car;587;608;608;24.32;1;inbound;72.85714285714286
125;car;;;;;;;
126;car;577;607;607;24.28;1;inbound;51.00000000000001
128;car;;;;;;;
129;car;726;683;726;29.04;1;outbound;35.58139534883721
130;car;;631;;;;;
131;bus;;;;;;;
132;car;;690;;;;;
135;bus;;;;;;;
138;car;639;666;666;26.64;1;inbound;56.666666666666664
139;car;757;711;757;30.28;1;outbound;33.26086956521739
140;truck;;;;;;;
141;car;;;;;;;
142;bus;651;;;;;;
143;truck;;;;;;;
146;car;;;;;;;
147;car;674;697;697;27.88;1;inbound;66.52173913043478
148;truck;;654;;;;;
151;car;665;691;691;27.64;1;inbound;58.84615384615385
152;truck;820;760;820;32.8;1;outbound;25.500000000000004
153;truck;;;;;;;
155;bus;;672;;;;;
156;car;784;740;784;31.36;1;outbound;34.77272727272727
157;car;;697;;;;;
158;car;700;;;;;;
161;car;;;;;;;
162;car;;724;;;;;
163;car;;785;;;;;
164;car;722;745;745;29.8;1;inbound;66.52173913043478
165;car;718;746;746;29.84;1;inbound;54.64285714285714
166;car;;;;;;;
168;truck;;;;;;;
170;car;;815;;;;;
171;car;885;820;885;35.4;1;outbound;23.53846153846154
172;car;;825;;;;;
175;car;764;783;783;31.32;1;inbound;80.52631578947368
177;car;;;;;;;
178;car;784;809;809;32.36;1;inbound;61.2
179;car;777;795;795;31.8;1;inbound;85.0
180;car;896;844;896;35.84;1;outbound;29.423076923076923
184;car;790;819;819;32.76;1;inbound;52.75862068965518
185;car;795;820;820;32.8;1;inbound;61.2
186;truck;;;;;;;
187;car;;867;;;;;
190;car;923;870;923;36.92;1;outbound;28.867924528301884
192;truck;;;;;;;
195;car;829;854;854;34.16;1;inbound;61.2
196;car;856;886;886;35.44;1;inbound;51.00000000000001
198;car;849;878;878;35.12;1;inbound;52.75862068965518
200;car;;913;;;;;
202;car;;926;;;;;
203;car;;946;;;;;
204;car;897;922;922;36.88;1;inbound;61.2
206;car;897;923;923;36.92;1;inbound;58.84615384615385
207;car;;903;;;;;
208;car;;959;;;;;
209;car;;;;;;;
210;car;1020;969;1020;40.8;1;outbound;30.000000000000004
213;car;925;956;956;38.24;1;inbound;49.354838709677416
215;car;926;953;953;38.12;1;inbound;56.666666666666664
217;car;938;963;963;38.52;1;inbound;61.2
218;car;;1002;;;;;
221;car;;;;;;;
222;car;;1012;;;;;
224;car;957;;;;;;
225;car;971;996;996;39.84;1;inbound;61.2
226;car;;1016;;;;;
227;car;965;985;985;39.4;1;inbound;76.5
228;car;1119;1062;1119;44.76;1;outbound;26.842105263157897
230;car;1108;1059;1108;44.32;1;outbound;31.224489795918366
232;car;1016;1039;1039;41.56;1;inbound;66.52173913043478
233;car;;1019;;;;;
235;car;1014;1041;1041;41.64;1;inbound;56.666666666666664
236;car;1026;1051;1051;42.04;1;inbound;61.2
239;car;;1106;;;;;
240;car;1146;1096;1146;45.84;1;outbound;30.6
241;car;;1098;;;;;
244;car;1069;1092;1092;43.68;1;inbound;66.52173913043478
250;car;1093;1118;1118;44.72;1;inbound;61.2
252;car;;1152;;;;;
253;car;1089;1115;1115;44.6;1;inbound;58.84615384615385
254;car;;1093;;;;;
256;car;;1162;;;;;
259;car;;1134;;;;;
261;car;1224;1179;1224;48.96;1;outbound;34.0
262;car;1246;1194;1246;49.84;1;outbound;29.423076923076923
263;car;1141;1166;1166;46.64;1;inbound;61.2
264;car;1146;1173;1173;46.92;1;inbound;56.666666666666664
266;car;;1228;;;;;
268;car;1174;1199;1199;47.96;1;inbound;61.2
269;car;1179;1204;1204;48.16;1;inbound;61.2
270;car;1179;1204;1204;48.16;1;inbound;61.2
271;car;1341;1274;1341;53.64;1;outbound;22.83582089552239
272;car;1320;1272;1320;52.8;1;outbound;31.875000000000004
273;car;;1273;;;;;
274;car;1252;1274;1274;50.96;1;inbound;69.54545454545455
275;car;1218;1245;1245;49.8;1;inbound;56.666666666666664
276;car;1225;1246;1246;49.84;1;inbound;72.85714285714286
277;car;;1243;;;;;
279;car;;1299;;;;;
280;car;;1262;;;;;
281;car;;1262;;;;;
282;car;;1322;;;;;
283;car;1270;1295;1295;51.8;1;inbound;61.2
284;car;1276;1305;1305;52.2;1;inbound;52.75862068965518
286;car;1294;1319;1319;52.76;1;inbound;61.2
288;car;1401;1354;1401;56.04;1;outbound;32.55319148936171
290;truck;;1354;;;;;
291;car;;;;;;;
294;car;;;;;;;
295;car;1439;1386;1439;57.56;1;outbound;28.867924528301884
296;car;1327;1353;1353;54.12;1;inbound;58.84615384615385
297;car;1349;1374;1374;54.96;1;inbound;61.2
299;car;1392;1417;1417;56.68;1;inbound;61.2
301;car;;1447;;;;;
302;car;;;;;;;
304;car;1399;1425;1425;57.0;1;inbound;58.84615384615385
305;car;;;;;;;
306;car;1542;1491;1542;61.68;1;outbound;30.000000000000004
307;car;1425;1449;1449;57.96;1;inbound;63.75000000000001
308;bus;1559;1507;1559;62.36;1;outbound;29.423076923076923
309;car;1442;1467;1467;58.68;1;inbound;61.2
313;car;1484;1511;1511;60.44;1;inbound;56.666666666666664
315;car;1600;1547;1600;64.0;1;outbound;28.867924528301884
316;car;;;;;;;
320;car;1503;1521;1521;60.84;1;inbound;85.0
323;car;;1569;;;;;
324;car;;;;;;;
325;car;1641;1590;1641;65.64;1;outbound;30.000000000000004
326;car;1528;1588;1588;63.52;1;inbound;25.500000000000004
327;car;1535;1555;1555;62.2;1;inbound;76.5
328;car;1539;1563;1563;62.52;1;inbound;63.75000000000001
330;truck;;;;;;;
331;car;;1624;;;;;
336;car;1568;1593;1593;63.72;1;inbound;61.2
338;car;;1572;;;;;
340;truck;1576;;;;;;
341;car;;1588;;;;;
342;car;;1635;;;;;
344;car;1702;1653;1702;68.08;1;outbound;31.224489795918366
345;car;1592;1619;1619;64.76;1;inbound;56.666666666666664
346;car;1727;1670;1727;69.08;1;outbound;26.842105263157897
347;truck;;;;;;;
349;car;1615;1640;1640;65.6;1;inbound;61.2
350;car;;1634;;;;;
351;car;;1651;;;;;
352;car;1641;1664;1664;66.56;1;inbound;66.52173913043478
353;car;1650;1676;1676;67.04;1;inbound;58.84615384615385
354;car;1788;1722;1788;71.52;1;outbound;23.181818181818183
355;car;1784;1718;1784;71.36;1;outbound;23.181818181818183
356;car;1664;1686;1686;67.44;1;inbound;69.54545454545455
359;car;1763;1726;1763;70.52;1;outbound;41.35135135135135
360;car;1675;1702;1702;68.08;1;inbound;56.666666666666664
363;car;1707;1729;1729;69.16;1;inbound;69.54545454545455
364;bus;;1701;;;;;
366;bus;1844;1794;1844;73.76;1;outbound;30.6
367;car;1709;1737;1737;69.48;1;inbound;54.64285714285714
