track_id;class_name;direction;speed_kmh
416;car;inbound;73.0
419;car;inbound;70.0
420;car;outbound;55.0
421;car;outbound;44.0
422;car;inbound;73.0
424;car;inbound;59.0
428;bus;outbound;49.0
429;car;outbound;39.0
430;car;outbound;57.0
433;car;inbound;76.0
434;car;outbound;38.0
435;car;outbound;51.0
436;bus;outbound;48.0
438;car;inbound;73.0
442;car;inbound;70.0
443;car;outbound;49.0
444;car;inbound;73.0
446;truck;inbound;53.0
447;car;outbound;45.0
448;car;inbound;73.0
452;car;outbound;45.0
456;car;outbound;53.0
459;car;outbound;57.0
463;car;outbound;49.0
464;car;inbound;55.0
466;car;outbound;35.0
468;car;inbound;73.0
470;car;outbound;51.0
472;car;inbound;53.0
474;car;outbound;61.0
475;car;inbound;64.0
476;car;outbound;49.0
478;car;inbound;70.0
482;car;outbound;57.0
487;car;inbound;51.0
488;car;outbound;49.0
491;car;inbound;61.0
492;car;outbound;57.0
496;car;inbound;73.0
498;car;outbound;49.0
502;car;inbound;61.0
503;car;inbound;55.0
506;car;outbound;55.0
507;car;outbound;45.0
508;car;inbound;57.0
509;car;inbound;70.0
510;car;inbound;73.0
515;car;outbound;57.0
517;car;inbound;73.0
518;car;outbound;45.0
519;car;inbound;76.0
520;car;outbound;55.0
521;car;inbound;67.0
523;car;inbound;51.0
524;car;outbound;44.0
526;car;inbound;67.0
528;car;outbound;41.0
529;car;inbound;73.0
530;car;inbound;51.0
531;car;outbound;53.0
532;car;inbound;55.0
533;car;outbound;40.0
535;car;inbound;49.0
536;car;inbound;70.0
537;car;inbound;64.0
538;car;outbound;42.0
543;car;outbound;53.0
545;car;inbound;70.0
546;car;inbound;53.0
551;car;outbound;46.0
553;car;inbound;118.0
554;car;inbound;67.0
557;car;outbound;57.0
559;truck;outbound;46.0
560;car;inbound;73.0
562;car;inbound;51.0
564;car;outbound;55.0
565;car;inbound;64.0
567;truck;outbound;48.0
568;car;inbound;70.0
569;car;outbound;49.0
571;car;inbound;53.0
575;car;inbound;61.0
576;car;outbound;51.0
577;car;outbound;44.0
578;car;inbound;70.0
583;car;inbound;67.0
584;car;inbound;51.0
594;car;inbound;70.0
1;car;outbound;42.0
3;car;inbound;70.0
4;car;outbound;64.0
5;car;inbound;118.0
7;car;outbound;51.0
11;bus;outbound;45.0
16;car;inbound;57.0
17;car;outbound;51.0
19;car;inbound;67.0
20;car;inbound;49.0
21;car;outbound;46.0
23;car;outbound;35.0
26;car;inbound;59.0
29;car;inbound;57.0
30;car;inbound;70.0
31;car;outbound;44.0
33;truck;outbound;44.0
34;car;inbound;53.0
35;car;outbound;29.0
38;car;inbound;61.0
40;car;inbound;61.0
43;car;outbound;29.0
45;car;inbound;64.0
46;car;outbound;26.0
49;car;inbound;49.0
52;car;inbound;59.0
53;car;outbound;33.0
54;car;outbound;48.0
57;car;inbound;51.0
59;car;inbound;81.0
62;car;outbound;44.0
63;car;inbound;59.0
64;car;outbound;38.0
72;car;outbound;41.0
74;car;inbound;55.0
75;car;outbound;33.0
78;car;inbound;67.0
84;car;outbound;35.0
85;car;inbound;81.0
87;car;inbound;81.0
88;car;outbound;40.0
89;car;inbound;81.0
92;car;outbound;37.0
94;car;inbound;59.0
96;car;outbound;31.0
97;truck;outbound;53.0
99;car;inbound;73.0
104;truck;outbound;33.0
105;car;inbound;61.0
108;car;outbound;39.0
109;car;inbound;59.0
113;car;inbound;61.0
114;car;outbound;33.0
116;car;inbound;55.0
117;car;inbound;53.0
118;car;inbound;59.0
120;car;outbound;46.0
122;truck;outbound;40.0
124;car;outbound;45.0
127;car;outbound;36.0
129;car;inbound;76.0
134;car;inbound;67.0
135;car;outbound;38.0
138;car;inbound;67.0
142;car;inbound;76.0
145;car;outbound;46.0
148;car;inbound;67.0
150;car;inbound;81.0
151;bus;outbound;38.0
153;car;inbound;76.0
158;car;inbound;81.0
163;car;inbound;67.0
164;car;outbound;38.0
165;car;outbound;45.0
166;car;outbound;36.0
170;car;inbound;70.0
171;car;inbound;64.0
175;car;outbound;40.0
176;truck;outbound;36.0
179;car;inbound;61.0
181;car;inbound;73.0
182;car;outbound;36.0
184;car;inbound;76.0
187;car;outbound;34.0
188;car;inbound;64.0
194;car;outbound;46.0
195;car;inbound;64.0
196;car;outbound;27.0
201;car;inbound;67.0
202;car;outbound;32.0
206;car;inbound;67.0
209;car;inbound;73.0
210;car;outbound;42.0
211;car;outbound;33.0
214;car;inbound;76.0
218;car;outbound;31.0
221;car;inbound;64.0
222;car;inbound;70.0
224;car;outbound;35.0
225;car;outbound;42.0
226;truck;inbound;53.0
232;car;outbound;31.0
234;car;inbound;67.0
236;car;inbound;73.0
238;car;outbound;38.0
239;car;inbound;67.0
242;car;inbound;76.0
243;car;outbound;36.0
247;car;inbound;67.0
248;car;outbound;36.0
250;car;inbound;73.0
251;truck;outbound;41.0
253;bus;inbound;53.0
256;car;outbound;39.0
262;car;outbound;33.0
263;car;inbound;67.0
266;car;outbound;40.0
267;car;inbound;61.0
271;car;inbound;76.0
283;car;inbound;55.0
285;car;inbound;118.0
287;car;outbound;35.0
288;car;outbound;36.0
292;car;outbound;30.0
293;car;inbound;59.0
298;car;inbound;57.0
301;car;outbound;37.0
303;car;inbound;81.0
304;car;inbound;59.0
306;truck;outbound;27.0
311;car;inbound;81.0
313;car;outbound;38.0
316;car;inbound;55.0
317;car;inbound;73.0
318;car;outbound;39.0
322;car;inbound;73.0
323;car;inbound;51.0
324;car;outbound;26.0
327;bus;outbound;32.0
330;car;inbound;109.0
331;car;inbound;67.0
333;car;outbound;39.0
334;car;outbound;30.0
338;car;outbound;28.0
339;car;outbound;39.0
342;car;inbound;67.0
352;car;inbound;102.0
355;car;inbound;67.0
356;car;inbound;73.0
362;car;inbound;96.0
366;truck;outbound;33.0
369;car;outbound;55.0
370;car;inbound;73.0
376;truck;outbound;27.0
377;car;outbound;35.0
380;car;inbound;73.0
386;car;outbound;29.0
391;car;inbound;73.0
396;car;outbound;51.0
397;car;outbound;23.0
399;car;outbound;51.0
400;car;inbound;85.0
401;car;outbound;33.0
402;car;inbound;81.0
403;car;outbound;24.0
407;car;outbound;27.0
408;car;inbound;73.0
409;car;inbound;64.0
411;car;outbound;48.0
413;car;outbound;30.0
416;car;outbound;33.0
418;truck;inbound;59.0
419;car;inbound;70.0
421;car;inbound;90.0
422;car;inbound;70.0
427;car;outbound;48.0
429;car;outbound;31.0
431;car;outbound;44.0
435;car;outbound;31.0
437;car;outbound;36.0
441;car;inbound;81.0
442;bus;outbound;27.0
443;car;outbound;36.0
445;car;inbound;76.0
446;car;outbound;36.0
452;car;inbound;70.0
454;car;inbound;76.0
458;car;inbound;64.0
466;car;inbound;70.0
480;car;outbound;24.0
484;car;inbound;70.0
487;car;outbound;23.0
488;car;inbound;70.0
490;car;outbound;33.0
491;car;outbound;31.0
492;car;inbound;90.0
494;car;inbound;70.0
495;car;inbound;70.0
496;car;inbound;76.0
500;car;outbound;28.0
501;car;inbound;81.0
502;car;outbound;36.0
506;car;inbound;73.0
507;truck;inbound;59.0
516;car;inbound;70.0
520;car;outbound;36.0
524;car;inbound;67.0
525;car;outbound;31.0
526;car;outbound;34.0
527;car;inbound;70.0
529;car;inbound;57.0
530;car;outbound;34.0
531;car;outbound;35.0
532;car;inbound;55.0
534;car;outbound;31.0
536;car;outbound;36.0
537;car;inbound;67.0
538;car;outbound;33.0
539;car;inbound;59.0
541;car;inbound;73.0
543;car;outbound;34.0
544;car;outbound;33.0
546;car;inbound;90.0
548;bus;outbound;29.0
550;car;inbound;67.0
551;car;outbound;33.0
552;car;inbound;70.0
555;car;inbound;73.0
557;car;outbound;35.0
558;truck;outbound;33.0
561;car;outbound;33.0
562;car;outbound;33.0
564;car;outbound;28.0
565;car;inbound;81.0
566;car;outbound;34.0
567;car;inbound;70.0
568;car;outbound;34.0
572;car;inbound;70.0
573;car;inbound;64.0
1;car;outbound;28.0
2;car;outbound;32.0
5;car;outbound;26.0
7;car;inbound;73.0
14;car;inbound;73.0
16;car;outbound;33.0
17;car;inbound;81.0
19;truck;outbound;34.0
22;car;inbound;73.0
24;car;outbound;35.0
25;car;outbound;27.0
31;car;inbound;90.0
