track_id;class_name;direction;speed_kmh
399;car;inbound;67.0
400;car;outbound;34.0
409;car;inbound;59.0
411;car;outbound;37.0
412;car;outbound;39.0
414;car;outbound;42.0
418;car;inbound;64.0
420;car;outbound;38.0
421;car;inbound;61.0
422;car;outbound;35.0
423;car;outbound;45.0
424;car;inbound;59.0
426;car;outbound;35.0
428;car;inbound;59.0
434;car;inbound;67.0
435;car;outbound;44.0
437;car;outbound;29.0
439;bus;inbound;90.0
445;car;inbound;59.0
446;car;inbound;59.0
448;car;inbound;73.0
450;car;outbound;37.0
451;car;inbound;70.0
457;car;inbound;55.0
458;car;outbound;37.0
462;car;inbound;67.0
463;car;outbound;37.0
465;car;inbound;61.0
466;car;inbound;67.0
467;car;outbound;34.0
468;car;outbound;37.0
469;car;outbound;34.0
473;car;outbound;34.0
475;car;inbound;70.0
477;car;outbound;31.0
479;car;inbound;70.0
482;bus;inbound;55.0
490;car;inbound;67.0
495;car;inbound;53.0
500;car;outbound;49.0
501;car;inbound;57.0
503;car;inbound;76.0
505;car;outbound;35.0
506;car;inbound;59.0
508;car;outbound;46.0
509;car;inbound;76.0
511;car;outbound;41.0
512;car;inbound;73.0
514;car;outbound;42.0
515;car;inbound;59.0
516;car;outbound;53.0
519;car;inbound;70.0
525;car;inbound;64.0
527;car;inbound;59.0
529;car;inbound;73.0
530;car;inbound;67.0
1;car;outbound;48.0
6;truck;outbound;45.0
8;car;outbound;41.0
15;car;inbound;90.0
16;car;outbound;51.0
18;car;inbound;67.0
19;car;inbound;73.0
21;car;outbound;41.0
22;car;inbound;67.0
24;car;outbound;41.0
25;car;outbound;53.0
29;car;inbound;70.0
32;car;inbound;81.0
33;car;outbound;51.0
37;car;inbound;76.0
38;truck;outbound;31.0
39;truck;inbound;49.0
41;car;inbound;90.0
46;car;outbound;45.0
51;car;outbound;38.0
55;car;outbound;42.0
58;car;inbound;70.0
61;car;inbound;67.0
64;car;outbound;42.0
67;car;inbound;59.0
68;car;outbound;41.0
69;car;inbound;81.0
70;car;outbound;46.0
74;car;inbound;55.0
81;car;inbound;70.0
82;car;inbound;76.0
84;car;outbound;44.0
86;car;outbound;39.0
88;car;inbound;64.0
92;car;inbound;67.0
96;car;inbound;73.0
100;car;outbound;41.0
102;car;inbound;73.0
103;car;outbound;48.0
104;car;inbound;85.0
106;car;inbound;81.0
107;car;inbound;70.0
